TRAINER,PRIMARY,SECONDARY
A-LIST ACTRESS,ANY,ANY
ACTRESS,ANY,ANY
AROMA LADY,GRASS,GRASS
BANDANA GAL,ANY,ANY
BARONESS,ANY,ANY
BATTLE GIRL,FIGHTING,FIGHTING
BEAUTY,ANY,ANY
CAT LADY,NORMAL,NORMAL
CHIC ACTRESS,ANY,ANY
COOL BEAUTY,ANY,ANY
COWGIRL,NORMAL,NORMAL
CRUSH GIRL,FIGHTING,FIGHTING
DUCHESS,GROUND,GHOST
FAIRY TALE GIRL,GRASS,FAIRY
FRESHWOMAN,ANY,ANY
FURISODE GIRL,GHOST,PSYCHIC
FUTURE GIRL,PSYCHIC,PSYCHIC
GIRL IN LOVE,ANY,ANY
GIRLFRIEND,ANY,ANY
GRAND DUCHESS,GROUND,WATER
GRANNY,ANY,ANY
KIMONO GIRL,GOHST,FIRE
LADY,ANY,ANY
LADY IN SUIT,ANY,ANY
LASS,ANY,ANY
MADAME,ANY,ANY
MAID,NORMAL,FAIRY
MARCHIONESS,ANY,ANY
MASKED WOMAN,POISON,GHOST
MATRON,ANY,ANY
MOTHER,NORMAL,FAIRY
NEW ACTRESS,ANY,ANY
ORDINARY LADY,ANY,ANY
PARASOL LADY,WATER,WATER
PICNIC GIRL,BUG,ANY
POKEMON CENTER LADY,NORMAL,FAIRY
PUNK GIRL,POISON,ELECTRIC
ROTATION GIRL,ANY,ANY
SCHOOLGIRL,ANY,ANY
SHOCKING GIRL,ANY,ANY
TOMBOY,NORMAL,FIGHTING
TRAVELING LADY,ANY,ANY
WITCH,POISON,DARK
LITTLE QUEEN,DRAGON,FAIRY
COUNTESS,ANY,ANY
VISCOUNTESS,ANY,ANY
WAITRESS,ANY,ANY
